Altium Designer Pick and Place Locations
C:\Dott\LIDO\lido-hardware\LIDO_HW_2022_04_V01\Output Documents\04_Fabrication_Files\PickAndPlace\LIDO_V03_DEVELOPMENT_04_07_2022.txt

========================================================================================================================
File Design Information:

Date:       02/07/22
Time:       21:35
Revision:   872b464fc55dbc7c29d34195fc9c3aeae9c73039
Variant:    DEVELOPMENT
Units used: mm

Designator Layer       Footprint                                     Center-X(mm) Center-Y(mm) Rotation Description                                                                                               "Manufacturer Part Number"         Manufacturer                        
FB200      BottomLayer IND_0603_1608X95-N_AVX_A                      18.9002      12.7992      0        "FERRITE BEAD 470 OHM 0603 1LN"                                                                           BLM18PG471SN1D                     "Murata Electronics"                
U100       TopLayer    SOT23-6P95_280X145L45-N_MICROCHIP_A           15.2000      39.9000      90       "Buck Switching Regulator IC Positive Adjustable 0.768V 1 Output 2A SOT-23-6 Thin, TSOT-23-6"             TPS562208DDCR                      "Texas Instruments"                 
C300       BottomLayer CAP_1210_3225X180-N_MURATA_A                  48.0000      33.0000      270      "CAP CER 4.7UF 50V X7R 1210"                                                                              CL32B475KBJVPNE                    "Samsung Electro-Mechanics"         
D110       TopLayer    NXP_SOD-323_250X125X95L30x32_A                58.8000      13.6500      0        "37V Clamp 5A (8/20µs) Ipp Tvs Diode Surface Mount SOD-323"                                               PESD12VL1BA,115                    "Nexperia USA Inc."                 
C144       BottomLayer CAP_1210_3225X180-N_MURATA_A                  16.1505      31.1498      180      "CAP CER 4.7UF 50V X7R 1210"                                                                              CL32B475KBJVPNE                    "Samsung Electro-Mechanics"         
C143       BottomLayer CAP_1210_3225X180-N_MURATA_A                  10.7500      35.2500      90       "CAP CER 4.7UF 50V X7R 1210"                                                                              CL32B475KBJVPNE                    "Samsung Electro-Mechanics"         
C141       BottomLayer CAP_1210_3225X180-N_MURATA_A                  61.5997      5.0498       90       "CAP CER 4.7UF 50V X7R 1210"                                                                              CL32B475KBJVPNE                    "Samsung Electro-Mechanics"         
X100       TopLayer    JST_BM24B-GHDS-TF_A                           59.0000      7.5000       0        "Connector Header Surface Mount 24 position 0.049" (1.25mm)"                                              BM24B-GHDS-TF(LF)(SN)              "JST Sales America Inc."            
X101       TopLayer    JST_BM28B-ZPDSS-TF_A                          71.7000      29.7500      90       "Connector Header Surface Mount 28 position 0.059" (1.50mm)"                                              BM28B-ZPDSS-TF(LF)(SN)             "JST Sales America Inc."            
R250       BottomLayer RES_0402_1005X40-N_YAGEO_A                    10.5000      14.1000      0        "RES SMD 33 OHM 5% 1/10W 0402"                                                                            ERJ-2GEJ330X                       "Panasonic Electronic Components"   
R249       BottomLayer RES_0402_1005X40-N_YAGEO_A                    10.5000      15.1000      0        "RES SMD 33 OHM 5% 1/10W 0402"                                                                            ERJ-2GEJ330X                       "Panasonic Electronic Components"   
D108       TopLayer    NXP_SOD-323_250X125X95L30x32_A                65.2500      1.6250       0        "12.5V Clamp 4.8A (8/20µs) Ipp Tvs Diode Surface Mount SOD-323"                                           PESD5V0V1BA,115                    "Nexperia USA Inc."                 
